NT,THT,THt,THQCr,CT,Ct,DT,Dt,QmT,TT,Tt,TCr,C,Si,P,S,RedRatio,dA,dB,dC,CE,dC^(1/6),log(dC),Fatigue
825,825,30,24,30,0,30,0,30,550,60,24,0.55,0.23,0.018,0.012,1740,0.07,0,0,0.696,0,-15,523
825,825,30,24,30,0,30,0,30,600,60,24,0.55,0.23,0.018,0.012,1740,0.07,0,0,0.696,0,-15,468
825,825,30,24,30,0,30,0,30,650,60,24,0.55,0.23,0.018,0.012,1740,0.07,0,0,0.696,0,-15,419
825,825,30,24,30,0,30,0,30,550,60,24,0.56,0.26,0.019,0.026,660,0.06,0,0,0.657666667,0,-15,500
825,825,30,24,30,0,30,0,30,550,60,24,0.56,0.25,0.009,0.023,610,0.06,0,0.04,0.697333333,0.341995189,-1.397940009,492
825,825,30,24,30,0,30,0,30,600,60,24,0.56,0.26,0.019,0.026,660,0.06,0,0,0.657666667,0,-15,458
825,825,30,24,30,0,30,0,30,600,60,24,0.56,0.25,0.009,0.023,610,0.06,0,0.04,0.697333333,0.341995189,-1.397940009,461
825,825,30,24,30,0,30,0,30,650,60,24,0.56,0.26,0.019,0.026,660,0.06,0,0,0.657666667,0,-15,398
825,825,30,24,30,0,30,0,30,650,60,24,0.56,0.25,0.009,0.023,610,0.06,0,0.04,0.697333333,0.341995189,-1.397940009,412
825,825,30,24,30,0,30,0,30,550,60,24,0.57,0.23,0.018,0.017,1740,0.08,0,0,0.719333333,0,-15,522
825,825,30,24,30,0,30,0,30,550,60,24,0.57,0.3,0.024,0.022,1270,0.1,0.01,0,0.728666667,0,-15,533
825,825,30,24,30,0,30,0,30,600,60,24,0.57,0.23,0.018,0.017,1740,0.08,0,0,0.719333333,0,-15,464
825,825,30,24,30,0,30,0,30,600,60,24,0.57,0.3,0.024,0.022,1270,0.1,0.01,0,0.728666667,0,-15,486
825,825,30,24,30,0,30,0,30,650,60,24,0.57,0.23,0.018,0.017,1740,0.08,0,0,0.719333333,0,-15,428
825,825,30,24,30,0,30,0,30,650,60,24,0.57,0.3,0.024,0.022,1270,0.1,0.01,0,0.728666667,0,-15,425
845,845,30,8,30,0,30,0,30,430,60,24,0.59,1.99,0.027,0.01,1228,0.04,0,0,0.774666667,0,-15,698
845,845,30,8,30,0,30,0,30,500,60,24,0.59,1.99,0.027,0.01,1228,0.04,0,0,0.774666667,0,-15,678
845,845,30,8,30,0,30,0,30,430,60,24,0.6,1.96,0.019,0.004,721,0.017,0,0.021,0.783,0.275892418,-1.677780705,781
845,845,30,8,30,0,30,0,30,500,60,24,0.6,1.96,0.019,0.004,721,0.017,0,0.021,0.783,0.275892418,-1.677780705,740
845,845,30,8,30,0,30,0,30,430,60,24,0.61,2.05,0.019,0.014,1455,0.07,0,0.01,0.804,0.215443469,-2,906
845,845,30,8,30,0,30,0,30,500,60,24,0.61,2.05,0.019,0.014,1455,0.07,0,0.01,0.804,0.215443469,-2,770
845,845,30,8,30,0,30,0,30,420,60,24,0.61,0.28,0.019,0.02,622,0.067,0,0.012,0.957666667,0.228942849,-1.920818754,794
845,845,30,8,30,0,30,0,30,490,60,24,0.61,0.28,0.019,0.02,622,0.067,0,0.012,0.957666667,0.228942849,-1.920818754,745
845,845,30,8,30,0,30,0,30,420,60,24,0.62,0.29,0.026,0.007,796,0.058,0,0.004,0.934,0.158740105,-2.397940009,768
845,845,30,8,30,0,30,0,30,490,60,24,0.62,0.29,0.026,0.007,796,0.058,0,0.004,0.934,0.158740105,-2.397940009,718
845,845,30,8,30,0,30,0,30,420,60,24,0.63,0.17,0.026,0.014,289,0.05,0,0,0.925666667,0,-15,855
845,845,30,8,30,0,30,0,30,490,60,24,0.63,0.17,0.026,0.014,289,0.05,0,0,0.925666667,0,-15,707
